level,region,file,expected_name,width,height,margin_left,margin_top,margin_right,margin_bottom,touches_edge,opaque_ratio
1,1_smesh_les,1.webp,True,432,478,9,0,0,0,"top,right,bottom",0.22783
1,1_smesh_les,11.webp,True,150,150,3,3,3,3,,0.62907
1,1_smesh_les,2.webp,True,483,426,0,0,0,0,"left,top,right,bottom",0.36693
1,1_smesh_les,22.webp,True,150,150,5,6,6,5,,0.60338
1,1_smesh_les,3.webp,True,484,436,5,3,0,0,"right,bottom",0.54387
1,1_smesh_les,33.webp,True,150,150,5,6,5,5,,0.60316
1,1_smesh_les,4.webp,True,473,488,0,9,0,0,"left,right,bottom",0.33788
1,1_smesh_les,44.webp,True,150,150,3,3,3,3,,0.62889
1,1_smesh_les,5.webp,True,508,512,16,16,17,17,,0.66418
1,1_smesh_les,55.webp,True,150,150,3,3,4,3,,0.68369
2,1_smesh_les,1.webp,True,512,473,17,17,17,17,,0.54229
2,1_smesh_les,11.webp,True,150,150,4,3,4,3,,0.61289
2,1_smesh_les,2.webp,True,512,408,17,17,17,17,,0.62477
2,1_smesh_les,22.webp,True,150,150,4,3,4,3,,0.61240
2,1_smesh_les,3.webp,True,376,512,16,17,17,17,,0.31917
2,1_smesh_les,33.webp,True,150,150,4,3,5,3,,0.60876
2,1_smesh_les,4.webp,True,344,512,16,16,17,16,,0.10507
2,1_smesh_les,44.webp,True,150,150,4,3,4,3,,0.61258
2,1_smesh_les,5.webp,True,489,512,17,17,17,17,,0.29986
2,1_smesh_les,55.webp,True,150,150,4,3,4,3,,0.61333
3,1_smesh_les,1.webp,True,484,406,8,8,0,18,right,0.51134
3,1_smesh_les,11.webp,True,150,150,5,6,5,6,,0.53067
3,1_smesh_les,2.webp,True,475,452,8,2,7,1,bottom,0.49184
3,1_smesh_les,22.webp,True,150,150,5,6,5,6,,0.55724
3,1_smesh_les,3.webp,True,471,408,14,5,14,23,,0.49514
3,1_smesh_les,33.webp,True,150,150,5,6,5,6,,0.55724
3,1_smesh_les,4.webp,True,484,470,5,7,3,7,,0.40271
3,1_smesh_les,44.webp,True,150,150,5,6,5,6,,0.52902
3,1_smesh_les,5.webp,True,512,347,14,14,14,14,,0.46334
3,1_smesh_les,55.webp,True,150,150,3,3,3,4,,0.60364
4,1_smesh_les,1.webp,True,367,474,0,0,0,0,"left,top,right,bottom",0.53524
4,1_smesh_les,11.webp,True,150,150,3,3,3,3,,0.50609
4,1_smesh_les,2.webp,True,310,474,0,0,0,0,"left,top,right,bottom",0.59136
4,1_smesh_les,22.webp,True,150,150,3,3,3,3,,0.50596
4,1_smesh_les,3.webp,True,373,505,30,19,10,12,,0.41426
4,1_smesh_les,33.webp,True,150,150,3,3,3,3,,0.50987
4,1_smesh_les,4.webp,True,424,485,18,7,21,4,,0.39216
4,1_smesh_les,44.webp,True,150,150,3,3,3,3,,0.50578
4,1_smesh_les,5.webp,True,352,474,0,0,0,0,"left,top,right,bottom",0.51575
4,1_smesh_les,55.webp,True,150,150,3,3,3,3,,0.50578
5,1_smesh_les,1.webp,True,482,481,0,0,0,0,"left,top,right,bottom",0.36010
5,1_smesh_les,11.webp,True,150,150,3,3,3,4,,0.64151
5,1_smesh_les,2.webp,True,484,421,0,0,0,0,"left,top,right,bottom",0.43802
5,1_smesh_les,22.webp,True,150,150,3,4,3,5,,0.57809
5,1_smesh_les,3.webp,True,482,413,0,0,0,0,"left,top,right,bottom",0.53685
5,1_smesh_les,33.webp,True,150,150,3,3,3,4,,0.60364
5,1_smesh_les,4.webp,True,483,366,0,0,0,0,"left,top,right,bottom",0.48907
5,1_smesh_les,44.webp,True,150,150,3,4,3,4,,0.59044
5,1_smesh_les,5.webp,True,447,472,13,0,11,0,"top,bottom",0.51716
5,1_smesh_les,55.webp,True,150,150,3,3,3,4,,0.64151
6,1_smesh_les,1.webp,True,512,512,37,19,38,19,,0.42152
6,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.46769
6,1_smesh_les,2.webp,True,474,402,0,0,0,0,"left,top,right,bottom",0.36523
6,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.46524
6,1_smesh_les,3.webp,True,485,343,6,0,9,4,top,0.53212
6,1_smesh_les,33.webp,True,150,150,7,7,8,7,,0.48920
6,1_smesh_les,4.webp,True,449,337,4,3,8,1,bottom,0.54268
6,1_smesh_les,44.webp,True,150,150,7,7,8,7,,0.48960
6,1_smesh_les,5.webp,True,485,489,0,0,0,0,"left,top,right,bottom",0.50154
6,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.47027
7,1_smesh_les,1.webp,True,431,476,12,4,5,2,,0.38931
7,1_smesh_les,11.webp,True,150,150,7,7,8,7,,0.49000
7,1_smesh_les,2.webp,True,470,429,10,4,7,4,,0.15401
7,1_smesh_les,22.webp,True,150,150,7,7,8,7,,0.49262
7,1_smesh_les,3.webp,True,438,481,8,6,7,5,,0.62859
7,1_smesh_les,33.webp,True,150,150,7,7,8,7,,0.48916
7,1_smesh_les,4.webp,True,470,387,0,0,0,0,"left,top,right,bottom",0.44893
7,1_smesh_les,44.webp,True,150,150,7,7,8,7,,0.49240
7,1_smesh_les,5.webp,True,429,485,11,6,8,9,,0.42264
7,1_smesh_les,55.webp,True,150,150,7,7,8,7,,0.48991
8,1_smesh_les,1.webp,True,471,376,4,1,1,1,"top,right,bottom",0.57642
8,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.53458
8,1_smesh_les,2.webp,True,474,241,7,10,5,13,,0.51808
8,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.53458
8,1_smesh_les,3.webp,True,486,408,5,10,9,9,,0.68201
8,1_smesh_les,33.webp,True,150,150,5,5,6,5,,0.53458
8,1_smesh_les,4.webp,True,481,437,8,5,1,7,right,0.62273
8,1_smesh_les,44.webp,True,150,150,5,5,6,5,,0.53458
8,1_smesh_les,5.webp,True,403,396,2,1,0,1,"top,right,bottom",0.52755
8,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.53458
9,1_smesh_les,1.webp,True,415,465,4,4,3,0,bottom,0.31750
9,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.53458
9,1_smesh_les,2.webp,True,468,433,7,1,8,5,top,0.45074
9,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.53458
9,1_smesh_les,3.webp,True,459,461,0,6,3,3,left,0.41638
9,1_smesh_les,33.webp,True,150,150,5,5,6,5,,0.53458
9,1_smesh_les,4.webp,True,451,442,0,4,1,12,"left,right",0.28321
9,1_smesh_les,44.webp,True,150,150,5,5,6,5,,0.53458
9,1_smesh_les,5.webp,True,412,459,8,3,10,5,,0.38133
9,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.53458
10,1_smesh_les,1.webp,True,477,364,4,6,2,14,,0.40807
10,1_smesh_les,11.webp,True,150,150,7,7,8,7,,0.48987
10,1_smesh_les,2.webp,True,430,481,13,4,3,7,,0.47988
10,1_smesh_les,22.webp,True,150,150,7,7,8,7,,0.48982
10,1_smesh_les,3.webp,True,474,332,1,35,2,10,left,0.46656
10,1_smesh_les,33.webp,True,150,150,7,7,8,7,,0.48947
10,1_smesh_les,4.webp,True,512,512,21,32,21,33,,0.27850
10,1_smesh_les,44.webp,True,150,150,7,7,8,7,,0.49133
10,1_smesh_les,5.webp,True,418,470,0,0,0,0,"left,top,right,bottom",0.52094
10,1_smesh_les,55.webp,True,150,150,7,7,8,7,,0.49120
11,1_smesh_les,1.webp,True,405,479,3,0,0,4,"top,right",0.48276
11,1_smesh_les,11.webp,True,150,150,7,7,8,7,,0.50947
11,1_smesh_les,2.webp,True,449,487,21,8,18,5,,0.41514
11,1_smesh_les,22.webp,True,150,150,7,7,8,7,,0.50929
11,1_smesh_les,3.webp,True,332,485,23,6,12,3,,0.46273
11,1_smesh_les,33.webp,True,150,150,7,7,8,7,,0.50693
11,1_smesh_les,4.webp,True,467,474,0,0,0,0,"left,top,right,bottom",0.39516
11,1_smesh_les,44.webp,True,150,150,7,7,8,7,,0.51004
11,1_smesh_les,5.webp,True,441,488,5,8,8,6,,0.38263
11,1_smesh_les,55.webp,True,150,150,7,7,8,7,,0.51058
12,1_smesh_les,1.webp,True,383,481,0,8,7,4,left,0.40989
12,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.53458
12,1_smesh_les,2.webp,True,399,477,9,11,14,12,,0.42848
12,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.53458
12,1_smesh_les,3.webp,True,365,481,11,7,7,10,,0.43114
12,1_smesh_les,33.webp,True,150,150,5,5,6,5,,0.53458
12,1_smesh_les,4.webp,True,465,464,22,2,4,2,,0.40410
12,1_smesh_les,44.webp,True,150,150,5,5,6,5,,0.53458
12,1_smesh_les,5.webp,True,404,482,10,13,3,4,,0.55045
12,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.53458
13,1_smesh_les,1.webp,True,452,427,0,0,0,0,"left,top,right,bottom",0.42184
13,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.53458
13,1_smesh_les,2.webp,True,464,471,3,0,8,2,top,0.51058
13,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.53458
13,1_smesh_les,3.webp,True,451,452,1,0,1,0,"left,top,right,bottom",0.31873
13,1_smesh_les,33.webp,True,150,150,5,5,6,5,,0.53458
13,1_smesh_les,4.webp,True,467,372,0,6,0,1,"left,right,bottom",0.37613
13,1_smesh_les,44.webp,True,150,150,5,5,6,5,,0.53458
13,1_smesh_les,5.webp,True,471,473,0,0,0,0,"left,top,right,bottom",0.51959
13,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.53458
14,1_smesh_les,1.webp,True,457,473,1,7,4,1,"left,bottom",0.49265
14,1_smesh_les,11.webp,True,150,150,5,5,6,5,,0.53458
14,1_smesh_les,2.webp,True,466,355,0,10,2,4,left,0.50186
14,1_smesh_les,22.webp,True,150,150,5,5,6,5,,0.53458
14,1_smesh_les,3.webp,True,480,424,0,10,9,13,left,0.48603
14,1_smesh_les,33.webp,True,150,150,5,5,6,5,,0.53458
14,1_smesh_les,4.webp,True,370,475,2,9,6,0,bottom,0.51125
14,1_smesh_les,44.webp,True,150,150,5,5,6,5,,0.53458
14,1_smesh_les,5.webp,True,440,462,9,1,12,1,"top,bottom",0.43253
14,1_smesh_les,55.webp,True,150,150,5,5,6,5,,0.53458
15,1_smesh_les,1.webp,True,500,579,0,0,3,2,"left,top",0.55596
15,1_smesh_les,11.webp,True,150,150,0,0,0,0,"left,top,right,bottom",0.77724
15,1_smesh_les,2.webp,True,506,512,16,19,17,16,,0.37346
15,1_smesh_les,22.webp,True,150,150,5,3,5,3,,0.60498
15,1_smesh_les,3.webp,True,508,512,16,17,17,17,,0.26200
15,1_smesh_les,33.webp,True,150,150,5,3,5,3,,0.60604
15,1_smesh_les,4.webp,True,420,512,16,17,17,16,,0.26579
15,1_smesh_les,44.webp,True,150,150,5,3,5,3,,0.60533
15,1_smesh_les,5.webp,True,500,433,10,0,11,7,top,0.30210
15,1_smesh_les,55.webp,True,150,150,5,3,5,3,,0.60458
16,2_zolot_polya,1.webp,True,400,489,11,5,16,10,,0.36052
16,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63156
16,2_zolot_polya,2.webp,True,467,474,0,0,0,0,"left,top,right,bottom",0.49695
16,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
16,2_zolot_polya,3.webp,True,479,477,0,0,5,6,"left,top",0.39482
16,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
16,2_zolot_polya,4.webp,True,376,482,17,6,0,2,right,0.45477
16,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63156
16,2_zolot_polya,5.webp,True,493,367,12,11,7,6,,0.39880
16,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63156
17,2_zolot_polya,1.webp,True,454,474,0,0,0,0,"left,top,right,bottom",0.46271
17,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63164
17,2_zolot_polya,2.webp,True,480,409,2,0,4,20,top,0.44096
17,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
17,2_zolot_polya,3.webp,True,468,475,0,0,0,6,"left,top,right",0.52688
17,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
17,2_zolot_polya,4.webp,True,512,512,33,19,34,19,,0.31697
17,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63173
17,2_zolot_polya,5.webp,True,442,489,8,3,11,12,,0.37057
17,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63156
18,2_zolot_polya,1.webp,True,512,512,19,28,19,28,,0.19570
18,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63244
18,2_zolot_polya,2.webp,True,210,489,11,5,37,10,,0.13694
18,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
18,2_zolot_polya,3.webp,True,512,512,50,19,51,19,,0.12332
18,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
18,2_zolot_polya,4.webp,True,512,512,19,33,19,33,,0.43943
18,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63156
18,2_zolot_polya,5.webp,True,493,358,11,9,8,14,,0.55232
18,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63156
19,2_zolot_polya,1.webp,True,485,367,7,13,4,3,,0.54306
19,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63156
19,2_zolot_polya,2.webp,True,501,426,8,18,19,7,,0.39576
19,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
19,2_zolot_polya,3.webp,True,485,396,4,11,7,10,,0.43116
19,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
19,2_zolot_polya,4.webp,True,474,502,0,0,0,8,"left,top,right",0.36694
19,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63196
19,2_zolot_polya,5.webp,True,512,512,19,34,19,35,,0.50058
19,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63156
20,2_zolot_polya,1.webp,True,512,512,46,19,46,19,,0.39743
20,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63156
20,2_zolot_polya,2.webp,True,512,512,22,19,22,19,,0.48011
20,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
20,2_zolot_polya,3.webp,True,432,476,14,10,12,7,,0.37297
20,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
20,2_zolot_polya,4.webp,True,474,439,0,8,0,0,"left,right,bottom",0.60871
20,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63156
20,2_zolot_polya,5.webp,True,408,478,0,0,5,8,"left,top",0.44264
20,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63156
21,2_zolot_polya,1.webp,True,449,481,10,5,8,2,,0.32314
21,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63156
21,2_zolot_polya,2.webp,True,504,467,14,14,16,5,,0.26885
21,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63164
21,2_zolot_polya,3.webp,True,479,414,5,13,0,11,right,0.57756
21,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63156
21,2_zolot_polya,4.webp,True,454,481,4,1,2,6,top,0.50923
21,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63156
21,2_zolot_polya,5.webp,True,445,485,11,4,20,7,,0.31657
21,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63182
22,2_zolot_polya,1.webp,True,492,408,11,36,7,18,,0.44840
22,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63156
22,2_zolot_polya,2.webp,True,506,435,19,21,13,8,,0.32016
22,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63169
22,2_zolot_polya,3.webp,True,498,460,17,8,7,13,,0.44629
22,2_zolot_polya,33.webp,True,150,150,4,3,4,3,,0.63164
22,2_zolot_polya,4.webp,True,417,479,17,1,30,4,top,0.36396
22,2_zolot_polya,44.webp,True,150,150,4,3,4,3,,0.63156
22,2_zolot_polya,5.webp,True,465,492,14,5,23,13,,0.42662
22,2_zolot_polya,55.webp,True,150,150,4,3,4,3,,0.63182
23,2_zolot_polya,1.webp,True,447,490,11,12,20,4,,0.18295
23,2_zolot_polya,11.webp,True,150,150,4,3,4,3,,0.63182
23,2_zolot_polya,2.webp,True,512,512,33,19,34,19,,0.53547
23,2_zolot_polya,22.webp,True,150,150,4,3,4,3,,0.63156
